2.100000000000000000e+01 8.661065020662422285e+02 5.843031844181316263e-03 1.310371172755962971e-04 1.298443328030396859e+00
2.200000000000000000e+01 8.791325431889747506e+02 6.889085257936510345e-03 1.436232272793839290e-04 1.363349833997349769e+00
2.300000000000000000e+01 8.922209436454505749e+02 8.075748495600490115e-03 1.567982692150552630e-04 1.432001583196462091e+00
2.400000000000000000e+01 9.056915408776383174e+02 9.400664608012587742e-03 1.705637621808311032e-04 1.501752529708439532e+00
2.500000000000000000e+01 9.196782663765485495e+02 1.086892288063538714e-02 1.849211591733755438e-04 1.564989968804258114e+00
2.600000000000000000e+01 9.336913754816642950e+02 1.249003605409584015e-02 1.998718368761148050e-04 1.625009623014450844e+00
2.700000000000000000e+01 9.481413710975859885e+02 1.425913262075349276e-02 2.154170867897522252e-04 1.680750843421534579e+00
2.800000000000000000e+01 9.628602975868553813e+02 1.615630824884885935e-02 2.315581061914117646e-04 1.725600286936403771e+00
2.900000000000000000e+01 9.777717319353747598e+02 1.821463500829741469e-02 2.482959912480199659e-04 1.764328153998584225e+00
3.000000000000000000e+01 9.930729123057982406e+02 2.047224550459070605e-02 2.656317302040955451e-04 1.790345337195175413e+00
3.100000000000000000e+01 1.008159097994296644e+03 2.292540198537972376e-02 2.835661976102301697e-04 1.814228277863162209e+00
3.200000000000000000e+01 1.023835282468516880e+03 2.558906602890835200e-02 3.021001502687148681e-04 1.830848239806091682e+00
3.300000000000000000e+01 1.039569889955155077e+03 2.842743273929788234e-02 3.212342239131431212e-04 1.839476235604024179e+00
3.400000000000000000e+01 1.055339439446276401e+03 3.147177024352823538e-02 3.409689303821811603e-04 1.842334335805897005e+00
3.500000000000000000e+01 1.071726049719590264e+03 3.473515906716936885e-02 3.613046573258410108e-04 1.832075256907944594e+00
3.600000000000000000e+01 1.087829640923037687e+03 3.824631487157863219e-02 3.822416671961978278e-04 1.820286603529383207e+00
3.700000000000000000e+01 1.104171499755460673e+03 4.200541142814698259e-02 4.037800994791672132e-04 1.799934776833056693e+00
3.800000000000000000e+01 1.120855013869485902e+03 4.597789384765071929e-02 4.259199722826910168e-04 1.771316521612699146e+00
3.900000000000000000e+01 1.137787662583031079e+03 5.016621400603869102e-02 4.486611867517024737e-04 1.733064572102516410e+00
4.000000000000000000e+01 1.154896661115258667e+03 5.458469355716620564e-02 4.720035300729790275e-04 1.682374287557153236e+00
4.100000000000000000e+01 1.172101899897267685e+03 5.924681728626016858e-02 4.959466826952836985e-04 1.617350687501330597e+00
4.200000000000000000e+01 1.189405392540891171e+03 6.416220416040782637e-02 5.204902231230828071e-04 1.539670473555373675e+00
